parameter,variation,project_id,plot_id
gamma,-0.1,12,48
gamma,-0.1,13,47
gamma,-0.1,14,49
gamma,-0.1,15,41
gamma,0.0,1,0
gamma,0.0,2,3
gamma,0.0,3,4
gamma,0.0,4,26
gamma,0.0,5,2
gamma,0.0,6,9
gamma,0.0,7,8
gamma,0.0,8,6
gamma,0.0,9,5
gamma,0.0,10,1
gamma,0.0,11,46
gamma,0.0,12,48
gamma,0.0,13,47
gamma,0.0,14,49
gamma,0.0,15,41
gamma,0.1,1,0
gamma,0.1,2,3
gamma,0.1,3,4
gamma,0.1,4,26
gamma,0.1,5,2
gamma,0.1,6,9
gamma,0.1,7,8
gamma,0.1,8,6
gamma,0.1,9,5
gamma,0.1,10,1
gamma,0.1,11,46
gamma,0.1,12,48
gamma,0.1,13,47
gamma,0.1,14,49
gamma,0.1,15,41
gamma,0.2,1,0
gamma,0.2,2,3
gamma,0.2,3,4
gamma,0.2,4,26
gamma,0.2,5,2
gamma,0.2,6,9
gamma,0.2,7,8
gamma,0.2,8,6
gamma,0.2,9,5
gamma,0.2,10,1
gamma,0.2,11,46
gamma,0.2,12,48
gamma,0.2,13,47
gamma,0.2,14,49
gamma,0.2,15,41
gamma,0.3,1,0
gamma,0.3,2,3
gamma,0.3,3,4
gamma,0.3,4,26
gamma,0.3,5,2
gamma,0.3,6,9
gamma,0.3,7,8
gamma,0.3,8,6
gamma,0.3,9,5
gamma,0.3,10,1
gamma,0.3,11,46
gamma,0.3,12,48
gamma,0.3,13,47
gamma,0.3,14,49
gamma,0.3,15,41
delta_worker_commute,-0.3,1,0
delta_worker_commute,-0.3,2,3
delta_worker_commute,-0.3,3,4
delta_worker_commute,-0.3,4,26
delta_worker_commute,-0.3,5,2
delta_worker_commute,-0.3,6,9
delta_worker_commute,-0.3,7,8
delta_worker_commute,-0.3,8,6
delta_worker_commute,-0.3,9,5
delta_worker_commute,-0.3,10,1
delta_worker_commute,-0.3,11,46
delta_worker_commute,-0.3,12,48
delta_worker_commute,-0.3,13,47
delta_worker_commute,-0.3,14,49
delta_worker_commute,-0.3,15,41
delta_worker_commute,-0.2,1,0
delta_worker_commute,-0.2,2,3
delta_worker_commute,-0.2,3,4
delta_worker_commute,-0.2,4,26
delta_worker_commute,-0.2,5,2
delta_worker_commute,-0.2,6,9
delta_worker_commute,-0.2,7,8
delta_worker_commute,-0.2,8,6
delta_worker_commute,-0.2,9,5
delta_worker_commute,-0.2,10,1
delta_worker_commute,-0.2,11,46
delta_worker_commute,-0.2,12,48
delta_worker_commute,-0.2,13,47
delta_worker_commute,-0.2,14,49
delta_worker_commute,-0.2,15,41
delta_worker_commute,-0.1,1,0
delta_worker_commute,-0.1,2,3
delta_worker_commute,-0.1,3,4
delta_worker_commute,-0.1,4,26
delta_worker_commute,-0.1,5,2
delta_worker_commute,-0.1,6,9
delta_worker_commute,-0.1,7,8
delta_worker_commute,-0.1,8,6
delta_worker_commute,-0.1,9,5
delta_worker_commute,-0.1,10,1
delta_worker_commute,-0.1,11,46
delta_worker_commute,-0.1,12,48
delta_worker_commute,-0.1,13,47
delta_worker_commute,-0.1,14,49
delta_worker_commute,-0.1,15,41
delta_worker_commute,0.0,1,0
delta_worker_commute,0.0,2,3
delta_worker_commute,0.0,3,4
delta_worker_commute,0.0,4,26
delta_worker_commute,0.0,5,2
delta_worker_commute,0.0,6,9
delta_worker_commute,0.0,7,8
delta_worker_commute,0.0,8,6
delta_worker_commute,0.0,9,5
delta_worker_commute,0.0,10,1
delta_worker_commute,0.0,11,46
delta_worker_commute,0.0,12,48
delta_worker_commute,0.0,13,47
delta_worker_commute,0.0,14,49
delta_worker_commute,0.0,15,41
delta_worker_commute,0.1,1,0
delta_worker_commute,0.1,2,3
delta_worker_commute,0.1,3,4
delta_worker_commute,0.1,4,26
delta_worker_commute,0.1,5,2
delta_worker_commute,0.1,6,9
delta_worker_commute,0.1,7,8
delta_worker_commute,0.1,8,6
delta_worker_commute,0.1,9,5
delta_worker_commute,0.1,10,1
delta_worker_commute,0.1,11,46
delta_worker_commute,0.1,12,48
delta_worker_commute,0.1,13,47
delta_worker_commute,0.1,14,49
delta_worker_commute,0.1,15,41
delta_worker_commute,0.2,1,0
delta_worker_commute,0.2,2,3
delta_worker_commute,0.2,3,4
delta_worker_commute,0.2,4,26
delta_worker_commute,0.2,5,2
delta_worker_commute,0.2,6,9
delta_worker_commute,0.2,7,8
delta_worker_commute,0.2,8,6
delta_worker_commute,0.2,9,5
delta_worker_commute,0.2,10,1
delta_worker_commute,0.2,11,46
delta_worker_commute,0.2,12,48
delta_worker_commute,0.2,13,47
delta_worker_commute,0.2,14,49
delta_worker_commute,0.2,15,41
delta_worker_commute,0.3,1,0
delta_worker_commute,0.3,2,3
delta_worker_commute,0.3,3,4
delta_worker_commute,0.3,4,26
delta_worker_commute,0.3,5,2
delta_worker_commute,0.3,6,9
delta_worker_commute,0.3,7,8
delta_worker_commute,0.3,8,6
delta_worker_commute,0.3,9,5
delta_worker_commute,0.3,10,1
delta_worker_commute,0.3,11,46
delta_worker_commute,0.3,12,48
delta_worker_commute,0.3,13,47
delta_worker_commute,0.3,14,49
delta_worker_commute,0.3,15,41
